magenta,
821917.615,9310752.886
822105.251,9311163.984
822071.591,9311179.329
822001.423,9311025.415
821570.443,9311221.897
821565.085,9311219.558
821560.836,9311216.331
821558.031,9311211.150
821555.311,9311202.825
821552.191,9311196.224
821548.780,9311187.340
821545.959,9311179.226
821542.617,9311172.547
821539.693,9311164.964
821536.479,9311157.188
821532.798,9311149.399
821529.333,9311142.693
821526.932,9311137.458
821525.458,9311132.222
821522.972,9311126.851
